"STATION","NAME","DATE","TMAX","TMIN"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-04","55","33"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-05","60","37"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-06","64","37"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-07","56","40"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-08","68","47"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-09","71","55"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-10","80","51"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-11","66","43"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-12","61","45"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-13","68","55"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-14","73","57"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-15","80","55"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-16","77","54"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-17","71","41"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-18","67","43"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-19","66","47"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-20","60","44"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-21","67","42"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-22","65","45"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-23","56","39"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-24","62","40"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-25","74","41"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-26","77","50"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-27","64","39"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-28","51","35"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-29","72","40"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-30","69","36"
"USC00365817","MILLVILLE 2 SW, PA US","1961-05-31","65","38"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-01","76","44"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-02","80","54"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-03","84","61"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-04","69","43"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-05","78","48"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-06","81","52"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-07","86","52"
